Feature,Centroids_1,Centroids_2,R1,R2,Orientation,Normalised_R,Found_Query
Aorta,515.596857731314,269.888094383742,17.4818620897942,42.6652396468467,-2.05114848409684,0.409744846964341,1
Left Ventricle,343.791690053894,235.041636683116,21.8645356098772,79.2280893839993,2.14474516391372,0.275969492384262,1
Left Atrium,465.27896408536,371.446416647677,33.0634483911346,56.0774598741478,1.72875935834175,0.589603175060665,1
Right Ventricle,438.587140738108,144.712734880903,28.9104503086979,49.126485248587,2.27981751628872,0.588490101874923,1
